Name,Data Type,Logical Address,
AErr_TC1_Warn,Bool,%M212.0,
AErr_TC2_Error,Bool,%M212.1,
AErr_TC2_High,Bool,%M212.2,
AErr_TC2_Low,Bool,%M212.3,
AErr_TC2_Over,Bool,%M212.4,
AErr_TC2_Under,Bool,%M212.5,
AErr_TC2_Warn,Bool,%M212.6,
AErr_Dancer_Low,Bool,%M212.7,
Status__w0,Word,%MW214,
Status_Finished,Bool,%M214.0,
Status_Finishing,Bool,%M214.1,
Status_Takeup_ChgOvr,Bool,%M214.2,
Status_Takeup_Run,Bool,%M214.3,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
